"Part","Qty"
"--3 x 20 shaft for BondTech Idler",9
"--BondTech BMG Idler Gear",9
"--BondTech Direct Drive Gear",8
"--K3x5x7 Needlebearing for BondTech Idler",18
"--M3x2mm Set Screw",8
"12x6x1 Spring (1)",1
"2020 Extrusion (HFSB5-2020-239-TPW)",1
"3x2 Magnet",2
"5mm D Rod (250mm)",1
"6x3 Magnet",16
"7x7 Drag Chain (300mm)",1
"8mm Smooth Rod (237mm)",2
"Base.stl",1
"Base_xN.STL",8
"BondTech Direct Drive Gear Set",8
"BondTech Idler Gear Set",9
"COAS_Holder_Female",2
"COAS_Holder_Male",2
"Carrot on a Stick PCB",2
"D2F-01L Microswitch",8
"Drag_Chain_Anchor.STL",1
"ECAS Fitting",10
"ERCF Binky PCB",1
"Encoder_Left.STL (1)",1
"Encoder_Right (2)",1
"Encoder_Right.STL",1
"End_Block.STL",1
"Filament_Path_Pregate_Switch_xN",8
"GT2 20T 6mm Pulley",1
"GT2 20T Idler",1
"GT2 6mm Belt (530mm)",1
"Gearbox.STL",1
"LDO-42STH47-1684AC",1
"LED_Carrier.STL",1
"LM8UU Bearing",2
"Lens 0",1
"Lens 1",1
"Lens 2",1
"Lens 3",1
"Lens 4",1
"Lens 5",1
"Lens 6",1
"Lens 7",1
"Lens_Bracket",2
"Lens_Bracket (1)",2
"Lid.stl",1
"Linear_Axis_Idler_Block.STL",1
"Linear_Axis_Selector_Motor_Support.STL",1
"Logo_Plate.STL",1
"M2x10 SHCS",17
"M2x8 SHCS",2
"M3 Hex Nut",3
"M3 Roll-in Nut",14
"M3 Threaded Insert",36
"M3x10 BHCS",1
"M3x10 SHCS",8
"M3x12 SHCS",16
"M3x20 SHCS",15
"M3x30 SHCS",2
"M3x8 BHCS",5
"M3x8 FHCS",4
"M3x8 SHCS",37
"M5 Nylock Nut",3
"M5x16 BHCS",2
"M5x30 BHCS",2
"MR85ZZ Bearing",21
"Motor_Mount_NEMA17_Direct_Drive.STL",1
"NEMA17 - Pancake 20mm Motor",1
"PTFE Tube",1
"Savox Servo",1
"Selector_Door.STL",1
"Selector_Spring_Cap.STL (1)",1
"Servo_Mount_Savox.STL",1
"Tag plate_0.STL",2
"Tag plate_1.STL",2
"Tag plate_2.STL",2
"Tag plate_3.STL",2
"Tag plate_4.STL",2
"Tag plate_5.STL",2
"Tag plate_6.STL",2
"Tag plate_7.STL",2
"V623ZZ Bearing",1
"[a]_Bypass.STL",1
"[a]_Drag_Chain_Anchor_Bottom.STL",1
"[a]_Gear_Box_Foot.STL",1
"[a]_Gear_Box_Top_Panel.STL",1
"[a]_Hatch.STL",1
"[a]_Latch_xN.STL",8
"[a]_Motor_Lock.STL",1
"[a]_Selector_Cart.STL",1
"[a]_Side_Latch_v2_x2.STL",2
"[a]_Split_Coupler_A.STL (1)",1
"[a]_Split_Coupler_B.STL",1
"[a]_Tophat_xN.STL",8
"[a]_Universal_Servo_Arm.STL",1
"[a]_Universal_Servo_Arm.STL (1)",1
"[c]_Logo_Diffuser.STL",1
"[mm]_Selector_Door_Carrot_Body_1.STL",1
"[mm]_Selector_Door_Carrot_Body_2.STL",1
"[mm]_Selector_Door_Carrot_Body_3.STL",1
"[mm]_Selector_Door_Carrot_Leaf_1.STL",1
"[mm]_Selector_Door_Carrot_Leaf_2.STL",1
